1,"Marco Vasquez","Alñoid24",2021-12-03,44668,23976,"La última vez que lo ví fue por la villa en la mañana con otros perros",false,1
2,"Juan Ramírez","Alpy202",2021-10-24,-36909,17016,"No se por donde se me perdió exactamente pero creo que fue por la pista en la tarde con otros perros",false,1
3,"Marco Vasquez","Apou182",2018-01-16,-21113,36329,"La última vez que lo ví fue por la escuela x en la noche con otros perros",false,1
4,"Manuel Claros","Ajui557",2019-06-07,-33475,-41963,"La última vez que lo ví fue por la pista en la tarde con una niña",false,1
5,"Marco Claros","Apou493",2018-11-15,21676,-42045,"Se marchó por la pista en la mañana con un niño",false,1
6,"Ruperto Ortiz","Luna39",2021-08-09,20935,44470,"Se fue por el mercado de huacho en la madrugada solo",false,1
7,"Pedro Turpaleon","Anlop198",2021-11-17,-47075,-19786,"Se fue por la vereda en la mañana con un niño",false,1
8,"Manuel Quispe","Luna814",2020-03-14,40630,-52728,"La última vez que lo ví fue por la vereda en la tarde solo",false,1
9,"Ana Turpaleon","Alio97",2019-08-07,-21108,-15883,"Se perdió por el mercado de lima en la noche con un niño",false,1
10,"Mirto Ramírez","Ajui100",2019-08-24,19913,5810,"Se perdió por el mercado de lima en la mañana con otros perros",false,1
11,"María Zaenz","Lacy183",2020-01-09,22395,-56491,"Se marchó por la villa en la tarde con otros perros",false,1
12,"Manuel Turpaleon","Ajui824",2018-01-04,32542,-5730,"Se fue por el mercado de huacho en la mañana con otros perros",false,1
13,"María Quispe","Ajui71",2020-09-05,-46079,22596,"La última vez que lo ví fue por la villa en la madrugada con un niño",false,1
14,"Mirto Quispe","Ajui482",2019-05-17,2354,-34532,"No se por donde se me perdió exactamente pero creo que fue por la playa en la noche solo",false,1
15,"Ruperto Quispe","Alñoid453",2018-02-24,33469,-13846,"Se marchó por el mercado de huacho en la noche con otros perros",false,1
16,"Manuel Ramírez","Alñoid32",2021-02-08,19416,-2860,"No se por donde se me perdió exactamente pero creo que fue por la plaza en la noche con un niño",false,1
17,"Marco Zaenz","Apou133",2020-05-12,23904,-59367,"Se marchó por la vereda en la mañana con un niño",false,1
