1,"María Solis","Luna3",2020-08-23,16448,37839,"La última vez que lo ví fue por la villa en la madrugada con un niño",false,1
2,"Ruperto Solis","Apou1",2021-04-09,-2994,-54173,"La última vez que lo ví fue por la plaza en la noche con un niño",false,1
3,"Juan Vasquez","Aloiy4",2018-06-07,24234,6978,"No se por donde se me perdió exactamente pero creo que fue por la escuela x en la mañana solo",false,1
4,"María Quispe","Apou5",2019-04-19,-30357,19161,"La última vez que lo ví fue por el mercado de lima en la tarde con una niña",false,1
5,"Marco Turpaleon","Alñoid6",2019-09-02,5694,-22995,"Se fugó por el mercado de lima en la mañana solo",false,1
6,"María Claros","Apou4",2020-06-19,-58937,-36152,"Se fugó por la escuela x en la noche solo",false,1
7,"Pedro Ramírez","Alpy9",2018-03-10,35445,-24667,"Se fue por la pista en la mañana con un niño",false,1
8,"Marco Ortiz","Anlop3",2021-08-15,6078,-52855,"No se por donde se me perdió exactamente pero creo que fue por la escuela x en la tarde solo",false,1
9,"Manuel Quispe","Alpy7",2019-03-09,-7533,18426,"Se perdió por el mercado de huacho en la mañana solo",false,1
10,"Marco Turpaleon","Alio5",2020-11-01,10346,31506,"Se fugó por el mercado de lima en la tarde con otros perros",false,1
